color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
"Black and White","Frank Miller",339,2,1,6000,"Bruce Willis",23000,13750556,"Action|Crime|Thriller","Joseph Gordon-Levitt","Sin City: A Dame to Kill For ",111102,49433,"Eva Green",3,"box office flop|female frontal nudity|female rear nudity|jackpot|rescue","http://www.imdb.com/title/tt0458481/?ref_=fn_tt_tt_1",239,"English","USA","R",65000000,2014,13000,6.500000,1.850000,32000
"Color","Roger Spottiswoode",170,2,2,956,"Michael Rapaport",3000,34543701,"Action|Mystery|Sci-Fi|Thriller","Robert Duvall","The 6th Day ",100001,5839,"Tony Goldwyn",1,"clone|cloning|future|laser gun|murder","http://www.imdb.com/title/tt0216216/?ref_=fn_tt_tt_1",289,"English","USA","PG-13",82000000,2000,975,5.900000,2.350000,0
"Color","Peter MacDonald",84,1,2,349,"Kurtwood Smith",13000,53715611,"Action|Adventure|Thriller|War","Sylvester Stallone","Rambo III ",92106,14574,"Richard Crenna",1,"afghanistan|colonel|rambo|rescue|soviet","http://www.imdb.com/title/tt0095956/?ref_=fn_tt_tt_1",171,"English","USA","R",63000000,1988,1000,5.700000,2.350000,2000
"Color","Edward Zwick",166,1,2,452,"Djimon Hounsou",29000,57366262,"Adventure|Drama|Thriller","Leonardo DiCaprio","Blood Diamond ",400292,33160,"Stephen Collins",0,"diamond|elephant|fisherman|rebel|sierra leone","http://www.imdb.com/title/tt0450259/?ref_=fn_tt_tt_1",657,"English","Germany","R",100000000,2006,3000,8.000000,2.350000,14000
"Color","Brian Helgeland",143,2,2,416,"Deborah Kara Unger",1000,81517441,"Action|Crime|Drama|Thriller","Bill Duke","Payback ",111368,3148,"William Devane",1,"anti hero|criminal|greed|prostitute|tough guy","http://www.imdb.com/title/tt0120784/?ref_=fn_tt_tt_1",394,"English","USA","R",50000000,1999,495,7.100000,2.350000,0
"Color","Mike Newell",306,1,1,236,"Richard Coyle",15000,90755643,"Action|Adventure|Fantasy|Romance","Jake Gyllenhaal","Prince of Persia: The Sands of Time ",222403,16149,"Reece Ritchie",2,"alamut|dagger|king|persia|princess","http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1",453,"English","USA","PG-13",200000000,2010,567,6.600000,2.350000,23000
"Color","David Zucker",151,1,1,750,"Pamela Anderson",807,110000082,"Comedy","Regina Hall","Scary Movie 3 ",111526,3629,"Jenny McCarthy",7,"crop circle|farm|orchestral music score|reference to michael jackson|videotape","http://www.imdb.com/title/tt0306047/?ref_=fn_tt_tt_1",347,"English","USA","PG-13",48000000,2003,780,5.500000,1.850000,0
"Color","Alejandro G. Iñárritu",556,2,1,733,"Tom Hardy",29000,183635922,"Adventure|Drama|Thriller|Western","Leonardo DiCaprio","The Revenant ",406020,57108,"Lukas Haas",0,"bear attack|cauterizing a wound|native american|revenge|survival","http://www.imdb.com/title/tt1663202/?ref_=fn_tt_tt_1",1188,"English","USA","R",135000000,2015,27000,8.100000,2.350000,190000
"Color","Kyle Balda",308,2,1,1000,"Jon Hamm",7000,300000000,"Action|Animation|Comedy|Family|Sci-Fi","Steve Carell","Minions ",142403,13616,"Steve Coogan",0,"antarctica|minion|queen|super villain|villain","http://www.imdb.com/title/tt2293640/?ref_=fn_tt_tt_1",275,"English","USA","PG",74000000,2015,4000,6.400000,1.850000,70000
"Color","Kyle Balda",308,1,1,1000,"Jon Hamm",7000,336029560,"Action|Animation|Comedy|Family|Sci-Fi","Steve Carell","Minions ",142403,13616,"Steve Coogan",0,"antarctica|minion|queen|super villain|villain","http://www.imdb.com/title/tt2293640/?ref_=fn_tt_tt_1",275,"English","USA","PG",74000000,2015,4000,6.400000,1.850000,70000
